transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1293,67,1931,2017-01-01,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22
3525,50,3490,2017-01-01,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2002-03-22
12544,36,3062,2017-01-01,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19
12485,85,2805,2017-01-01,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,2000-05-22
3518,58,523,2017-01-01,1.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-05-21
13609,40,3073,2017-01-01,0.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-02
561,65,2298,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,2010-08-20
2771,51,3470,2017-01-01,0.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,2007-12-11
12422,78,2552,2017-01-01,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2013-09-16
3460,64,234,2017-01-01,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2011-08-24
9648,92,3056,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2003-01-05
19543,74,2804,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,2003-09-09
11996,59,1349,2017-01-01,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,1993-07-20
5323,11,3010,2017-01-01,0.0,Cancelled,Giant Bicycles,Standard,high,medium,1274.93,764.96,2007-08-04
14762,35,3335,2017-01-01,0.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12
8543,17,1935,2017-01-01,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-11-09
2008,38,722,2017-01-01,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,2001-11-25
8479,50,1099,2017-01-01,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,1991-01-21
16920,18,113,2017-01-01,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,2013-03-12
16398,43,2160,2017-01-01,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,2012-04-10
6459,50,1745,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2003-02-16
8252,27,366,2017-01-01,0.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12
9986,85,3389,2017-01-01,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,2015-08-02
13368,18,1658,2017-01-01,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,2009-03-08
4239,12,51,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-17
13934,94,824,2017-01-01,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2004-01-16
